Id,Start time,Completion time,Email,Name,What is your age group?,What is your marital status?,"Do you have any dependents (children, parents)","If yes, how many children?",Where do you live,Do you currently pay Zakaat?,How do you currently calculate your Zakaat if you do? (Select all that apply),How confident are you in your Zakaat calculations?,What makes calculating Zakaat difficult for you (Select all that apply),Would you use an app that tracks your savings/income and tells you when you're eligible to pay Zakaat?,What features would you like to see in a Zakaat app? (Select all that apply),How often would you want to be reminded about Zakaat obligations?,How comfortable are you with inputting financial data into a secure Islamic finance app?,Would you like to be able to directly donate to trusted charities within the app?,What Islamic finance issues or features are most important to you when using a financial app?,Would you be interested in testing or giving feedback on this app when its ready?
1,11/10/2025 11:32,11/10/2025 11:34,anonymous,,18-24,Prefer not to say,No,,Dublin,Yes,I don't calculate ;,1,Unsure what counts as assets ;Difficulty tracking savings over the year;,Yes,"Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Islamic finance learning sources;",Yearly (before due),Very comfortable ,Yes,transparency of the advise and calculation source - AI? ,Yes
2,11/10/2025 11:47,11/10/2025 11:48,anonymous,,18-24,Single,No,,Dublin 15,I'm not sure if I'm eligible ,I don't calculate ;,1,Don't know if I'm eligible ;Unsure what counts as assets ;Difficulty tracking savings over the year;I don't know where to donate;,Yes,Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Privacy & encryption of my data ;,Only when eligible ,Somewhat comfortable ,Yes,How much I should pay,Yes
3,11/10/2025 11:46,11/10/2025 11:50,anonymous,,18-24,Single,Yes,,South Dublin,No,I don't calculate ;,1,Don't know if I'm eligible ;,Yes,Zakaat eligibility tracker ;Predicting how much you need to pay ;Income & savings tracker;Charity donation options;Islamic finance learning sources;Privacy & encryption of my data ;,Monthly,Depends on security features ,Yes,making sure charities are trusted and work 100% islamically ,Yes
4,11/10/2025 12:01,11/10/2025 12:04,anonymous,,18-24,Married,No,,Dublin,Yes,Online Zakaat calculator ;,3,Confusing calculators ;Difficulty tracking savings over the year;Unsure what counts as assets ;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Islamic finance learning sources;Privacy & encryption of my data ;Family/lifestyle based adjustments (e.g, married, children etc);Avoiding interest / Riba tools;Charity donation options;Predicting how much you need to pay ;",Yearly (before due),Depends on security features ,Yes,interest,Yes
5,11/10/2025 12:06,11/10/2025 12:08,anonymous,,18-24,Single,No,,Dublin,No,I don't calculate ;,5,Don't know if I'm eligible ;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Charity donation options;Privacy & encryption of my data ;Family/lifestyle based adjustments (e.g, married, children etc);",Yearly (before due),Very comfortable ,Yes,Accuracy ,Yes
6,11/10/2025 12:10,11/10/2025 12:13,anonymous,,18-24,Single,No,,Dublin,Yes,Asking local sheikh/ imam/ scholar ;,5,Unsure what counts as assets ;,Maybe,"Zakaat eligibility tracker ;Income & savings tracker;Charity donation options;Predicting how much you need to pay ;Islamic finance learning sources;Privacy & encryption of my data ;Transaparency in issuers and sponsors to know where ny data is going, no normalizing states or companies;",Only when eligible ,Depends on security features ,Yes,Adhering to the teachings of all muslim schools,Maybe
7,11/10/2025 12:24,11/10/2025 12:26,anonymous,,18-24,Single,No,,Hong Kong ,Yes,I just put a rough estimate of my income (overestimate) and derive 2.5% from it for Zakaat ;Spreadsheet/ manual notes;,3,Unsure what counts as assets ;Not sure whether living allowance by scholarships/internships counts ;,Yes,Zakaat eligibility tracker ;Income & savings tracker;Charity donation options;Avoiding interest / Riba tools;Islamic finance learning sources;Privacy & encryption of my data ;,Monthly,Very comfortable ,Yes,Making sure it is trusted and verified ,Yes
8,11/10/2025 12:29,11/10/2025 12:32,anonymous,,18-24,Married,No,,london,I'm not sure if I'm eligible ,I don't calculate ;,1,"Don't know if I'm eligible ;Unsure what counts as assets ;Difficulty tracking savings over the year;i dont know what is technically considered my money, for example if it was given to me by my parents;",Yes,Islamic finance learning sources;Privacy & encryption of my data ;Predicting how much you need to pay ;Zakaat eligibility tracker ;Avoiding interest / Riba tools;Income & savings tracker;,Yearly (before due),Somewhat comfortable ,Maybe,accuracy,Yes
9,11/10/2025 12:35,11/10/2025 12:37,anonymous,,18-24,Single,No,,Hong kong,I'm not sure if I'm eligible ,Parents pay it ;,2,Don't know if I'm eligible ;Unsure what counts as assets ;Difficulty tracking savings over the year;I don't know where to donate;Confusing calculators ;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Charity donation options;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Islamic finance learning sources;Privacy & encryption of my data ;",Yearly (before due),Somewhat comfortable ,Maybe,.,Maybe
10,11/10/2025 12:48,11/10/2025 12:50,anonymous,,Under 18 ,Single,No,,Hong Kong ,No,I don't calculate ;,5,NA;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Charity donation options;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Islamic finance learning sources;Privacy & encryption of my data ;",Monthly,Depends on security features ,Yes,Transparency and Trust,Maybe
11,11/10/2025 12:30,11/10/2025 12:54,anonymous,,18-24,Married,No,,Dublin ,Yes,I don't calculate ;,1,Don't know if I'm eligible ;Unsure what counts as assets ;Difficulty tracking savings over the year;,Yes,"Zakaat eligibility tracker ;Income & savings tracker;Predicting how much you need to pay ;Avoiding interest / Riba tools;Family/lifestyle based adjustments (e.g, married, children etc);Islamic finance learning sources;Privacy & encryption of my data ;",Only when eligible ,Somewhat comfortable ,Maybe,"No interest, no mandatory fees, halal investments ",Yes
